facility_name,facility_name_english,facility_name_display,facility_type_standard,longitude,latitude,has_original_name,coordinates_valid,location_precision
صيدلية أبو نجلة الحديثة,Abu Najla Modern Pharmacy,Abu Najla Modern Pharmacy,pharmacy,32.485534,15.6831228,TRUE,TRUE,high
Atefa Pharmacy - صيدلية عاطفة,Atefa Pharmacy - Atefa Pharmacy,Atefa Pharmacy - Atefa Pharmacy,pharmacy,32.4851532,15.6990191,TRUE,TRUE,high
صيدليه هلا,Hala Pharmacy,Hala Pharmacy,pharmacy,32.4856521,15.7004651,TRUE,TRUE,high
Rama hospital,Rama hospital,Rama hospital,clinic,36.3982206,15.4506503,TRUE,TRUE,high
,,Unnamed Dental_clinic,dental_clinic,32.4768026,15.6917653,FALSE,TRUE,medium
صيدلية إينورا,Enora Pharmacy,Enora Pharmacy,pharmacy,32.5712155,15.5040073,TRUE,TRUE,high
صيدلية ابوالمقداد,Abu Al-Miqdad Pharmacy,Abu Al-Miqdad Pharmacy,pharmacy,32.535415,15.5843403,TRUE,TRUE,high
مركز نور الحياة للبصريات,Nour Al Hayat Optical Center,Nour Al Hayat Optical Center,clinic,27.686787,10.1441013,TRUE,TRUE,high
صيدلية ضحي,Doha Pharmacy,Doha Pharmacy,pharmacy,32.4707046,15.6075029,TRUE,TRUE,high
عيادة احمد ابشر,Ahmed Absher Clinic,Ahmed Absher Clinic,clinic,32.5341987,15.5781063,TRUE,TRUE,high
صدلية السواحلي,Swahili Pharmacy,Swahili Pharmacy,pharmacy,32.5739,15.5670664,TRUE,TRUE,high
صيدلية العميد,Al-Ameed Pharmacy,Al-Ameed Pharmacy,pharmacy,32.5314151,15.6464445,TRUE,TRUE,high
صيدلية وعدود,Waadoud Pharmacy,Waadoud Pharmacy,pharmacy,32.4780132,15.6187464,TRUE,TRUE,high
صيدلية الفاروق 4,Al Farouk Pharmacy 4,Al Farouk Pharmacy 4,pharmacy,32.5749359,15.6326876,TRUE,TRUE,high
صيدلية استيفيا,Stevia Pharmacy,Stevia Pharmacy,pharmacy,32.490261,15.5078674,TRUE,TRUE,high
صيدلية اسبانيول,Espanyol Pharmacy,Espanyol Pharmacy,pharmacy,32.4969927,15.5312463,TRUE,TRUE,high
UNIVERSE PHARMACY,UNIVERSE PHARMACY,UNIVERSE PHARMACY,pharmacy,32.5491773,15.5597012,TRUE,TRUE,high
مركز صحي يثرب,Yathrib Health Center,Yathrib Health Center,other,32.4982774,15.5250461,TRUE,TRUE,high
مجمع عيادات اركويت الطبي,Arquette Medical Clinics Complex,Arquette Medical Clinics Complex,clinic,32.5637016,15.559364,TRUE,TRUE,high
صيدلية الشرق,Al Sharq Pharmacy,Al Sharq Pharmacy,pharmacy,32.4959376,15.5325684,TRUE,TRUE,high
صيدلية يمني,Yemeni Pharmacy,Yemeni Pharmacy,pharmacy,32.5071352,15.700736,TRUE,TRUE,high
صيدلية مكة,Mecca Pharmacy,Mecca Pharmacy,pharmacy,32.4762602,15.7223859,TRUE,TRUE,high
صيدلية الشرقاوي,Al-Sharqawi Pharmacy,Al-Sharqawi Pharmacy,pharmacy,32.4770044,15.6715595,TRUE,TRUE,high
صيدلية أرزاق,Arzaq Pharmacy,Arzaq Pharmacy,pharmacy,32.4962975,15.7205023,TRUE,TRUE,high
صيدلية سادر,Sader Pharmacy,Sader Pharmacy,pharmacy,32.612613,15.572464,TRUE,TRUE,high
صيدلية الرشاد,Al-Rashad Pharmacy,Al-Rashad Pharmacy,pharmacy,32.6126437,15.594957,TRUE,TRUE,high
صيدلية الزيتونة,Al-Zaytouna Pharmacy,Al-Zaytouna Pharmacy,pharmacy,32.6147552,15.5989011,TRUE,TRUE,high
ديار,Home,Home,pharmacy,32.6108949,15.5994236,TRUE,TRUE,high
صيدلية صادقابي,Sadaqabi Pharmacy,Sadaqabi Pharmacy,pharmacy,32.6165042,15.6034789,TRUE,TRUE,high
صيدلية نمرة ود الشيخ,Namira Wad El Sheikh Pharmacy,Namira Wad El Sheikh Pharmacy,pharmacy,32.5295639,15.6265621,TRUE,TRUE,high
صيدلية بت البلد,Bit El Balad Pharmacy,Bit El Balad Pharmacy,pharmacy,32.4950638,15.5328121,TRUE,TRUE,high
صيدلية الفتح,Al Fath Pharmacy,Al Fath Pharmacy,pharmacy,32.4944382,15.5349379,TRUE,TRUE,high
صيدلية كوزمو,Cosmo Pharmacy,Cosmo Pharmacy,pharmacy,32.4954376,15.534687,TRUE,TRUE,high
مصنع الادوية العام gmc,General Pharmaceutical Factory GMC,General Pharmaceutical Factory GMC,pharmacy,32.4888115,15.5343122,TRUE,TRUE,high
صيدلية الحكمة,Al-Hikma Pharmacy,Al-Hikma Pharmacy,pharmacy,32.5394363,15.5293121,TRUE,TRUE,high
صيدلية ام البنين,Umm Al Banin Pharmacy,Umm Al Banin Pharmacy,pharmacy,32.5374374,15.5291872,TRUE,TRUE,high
صيدلية الميناء البري,Land Port Pharmacy,Land Port Pharmacy,pharmacy,32.5406876,15.5294371,TRUE,TRUE,high
سادر,Sadr,Sadr,pharmacy,32.6126488,15.5718908,TRUE,TRUE,high
صيدلية الجرافي,Al-Gharafi Pharmacy,Al-Gharafi Pharmacy,pharmacy,32.610466,15.5798426,TRUE,TRUE,high
صيدلية زكريا,Zakaria Pharmacy,Zakaria Pharmacy,pharmacy,32.6184308,15.6043917,TRUE,TRUE,high
صيدلية بيرفكت كير,Perfect Care Pharmacy,Perfect Care Pharmacy,pharmacy,32.6162285,15.6063114,TRUE,TRUE,high
البروف حسن ابوعائشه ارتيقة,Prof. Hassan Abu Aisha Artika,Prof. Hassan Abu Aisha Artika,clinic,32.6077881,15.6031641,TRUE,TRUE,high
صيدلية عائشة الطيب,Aisha Al-Tayeb Pharmacy,Aisha Al-Tayeb Pharmacy,pharmacy,32.6092023,15.5845845,TRUE,TRUE,high
صيدلية دايموندكير,Diamondcare Pharmacy,Diamondcare Pharmacy,pharmacy,32.5273363,15.5910619,TRUE,TRUE,high
صيدلية افكار,Afkar Pharmacy,Afkar Pharmacy,pharmacy,32.6329909,15.5910505,TRUE,TRUE,high
صيدلية الخليفة,Al Khalifa Pharmacy,Al Khalifa Pharmacy,pharmacy,32.4588821,15.591641,TRUE,TRUE,high
مركز حياة للإستشارات الاجتماعية,Hayat Center for Social Counseling,Hayat Center for Social Counseling,clinic,32.4978751,15.5192087,TRUE,TRUE,high
صيدلية رومي الكبري,Roumi Al-Kubra Pharmacy,Roumi Al-Kubra Pharmacy,pharmacy,32.4961544,15.4598818,TRUE,TRUE,high
صيدلية شوامخ المركزية رقم 10,Shawamikh Central Pharmacy No. 10,Shawamikh Central Pharmacy No. 10,pharmacy,32.4860515,15.4804064,TRUE,TRUE,high
صيدلية نينة,Nina Pharmacy,Nina Pharmacy,pharmacy,32.6247513,15.6384352,TRUE,TRUE,high
صيدلية شوامخ,Shawamikh Pharmacy,Shawamikh Pharmacy,pharmacy,32.6070523,15.6005942,TRUE,TRUE,high
صيدلية المني,Al-Minya Pharmacy,Al-Minya Pharmacy,pharmacy,33.3002728,14.7357224,TRUE,TRUE,high
صيدلية الهلالي,Al Hilali Pharmacy,Al Hilali Pharmacy,pharmacy,32.568441,15.5758006,TRUE,TRUE,high
مركز سفانة للعلاج الطبيعي و التأهيل,Savana Center for Physiotherapy and Rehabilitation,Savana Center for Physiotherapy and Rehabilitation,other,32.5705522,15.5771113,TRUE,TRUE,high
صيدلية شلقامي,Shalkami Pharmacy,Shalkami Pharmacy,pharmacy,32.5730941,15.5723287,TRUE,TRUE,high
صيدلية العريفي,Al-Arifi Pharmacy,Al-Arifi Pharmacy,pharmacy,32.5758496,15.5812752,TRUE,TRUE,high
صيدلية الأحلام,Dreams Pharmacy,Dreams Pharmacy,pharmacy,32.5562351,15.6243944,TRUE,TRUE,high
صيدلية الحكيم ٢,Al-Hakim Pharmacy 2,Al-Hakim Pharmacy 2,pharmacy,32.5583491,15.6214524,TRUE,TRUE,high
صيدليه بحري,Bahri Pharmacy,Bahri Pharmacy,pharmacy,32.5412385,15.6536434,TRUE,TRUE,high
صيدلية هبة,Heba Pharmacy,Heba Pharmacy,pharmacy,32.5434941,15.6731019,TRUE,TRUE,high
صيدلية شهد,Shahd Pharmacy,Shahd Pharmacy,pharmacy,32.5483392,15.6726446,TRUE,TRUE,high
صيدلية المالديف,Maldives Pharmacy,Maldives Pharmacy,pharmacy,32.5502283,15.6689454,TRUE,TRUE,high
مستشفي الأسنان الأكاديمي,Academic Dental Hospital,Academic Dental Hospital,dental_clinic,32.5420033,15.552782,TRUE,TRUE,high
صيدلية سمسم,Semsom Pharmacy,Semsom Pharmacy,pharmacy,32.5211991,15.5223834,TRUE,TRUE,high
صيدلية ذو النورين,Dhul Nourin Pharmacy,Dhul Nourin Pharmacy,pharmacy,32.5178779,15.5258096,TRUE,TRUE,high
صيدلية المتطورة,Advanced Pharmacy,Advanced Pharmacy,pharmacy,32.5128059,15.5249278,TRUE,TRUE,high
صيدلية هيلث اند بيوتي - جبرة,Health and Beauty Pharmacy - Jabra,Health and Beauty Pharmacy - Jabra,pharmacy,32.5070771,15.5244267,TRUE,TRUE,high
بنك النيل - كوبر,Nile Bank - Cooper,Nile Bank - Cooper,other,32.5436859,15.6238127,TRUE,TRUE,high
صيدلية الانقاذ,Rescue Pharmacy,Rescue Pharmacy,pharmacy,32.5353583,15.6232743,TRUE,TRUE,high
صيدلية ابانوب,Abanoub Pharmacy,Abanoub Pharmacy,pharmacy,32.5279618,15.6241537,TRUE,TRUE,high
صيدلية غلوريا,Gloria Pharmacy,Gloria Pharmacy,pharmacy,32.5609418,15.6084396,TRUE,TRUE,high
صيدلية الشهيدة اسراء,Martyr Israa Pharmacy,Martyr Israa Pharmacy,pharmacy,32.5622908,15.600684,TRUE,TRUE,high
صيدلية التداوي,Al Tadawi Pharmacy,Al Tadawi Pharmacy,pharmacy,32.5587627,15.6001484,TRUE,TRUE,high
cure dental,cure dental,cure dental,clinic,32.5611217,15.580056,TRUE,TRUE,high
,,Unnamed Pharmacy,pharmacy,32.5597134,15.5761453,FALSE,TRUE,medium
مختبرات توتال لاب كير,Total Lab Care Laboratories,Total Lab Care Laboratories,other,32.5633498,15.5665723,TRUE,TRUE,high
Abu-Elmegdad Pharmacy,Abu-Elmegdad Pharmacy,Abu-Elmegdad Pharmacy,pharmacy,32.5655724,15.5804287,TRUE,TRUE,high
مركز بنون الطبي,Benoun Medical Center,Benoun Medical Center,clinic,32.5367192,15.5892829,TRUE,TRUE,high
صيدلية المك نمر,Al-Mak Nimr Pharmacy,Al-Mak Nimr Pharmacy,pharmacy,32.5365725,15.5914782,TRUE,TRUE,high
عيادة دكتور بشرة للعيون,Skin Doctor Eye Clinic,Skin Doctor Eye Clinic,clinic,32.5341414,15.5766209,TRUE,TRUE,high
صيدلية المها,Al Maha Pharmacy,Al Maha Pharmacy,pharmacy,32.4880935,15.5190556,TRUE,TRUE,high
صيدلية الفتيحاب,Al-Fatihab Pharmacy,Al-Fatihab Pharmacy,pharmacy,32.4639714,15.6030159,TRUE,TRUE,high
صيدلية علياء,Alia Pharmacy,Alia Pharmacy,pharmacy,32.5631866,15.576438,TRUE,TRUE,high
صيدلية سلفر واتر,Silver Water Pharmacy,Silver Water Pharmacy,pharmacy,32.4466858,15.5921879,TRUE,TRUE,high
صيدلية سنديان,Sindian Pharmacy,Sindian Pharmacy,pharmacy,32.4553108,15.5888128,TRUE,TRUE,high
صيدلية فارما,Pharma Pharmacy,Pharma Pharmacy,pharmacy,32.4629364,15.5896873,TRUE,TRUE,high
Small-Mini community health point,Small-Mini community health point,Small-Mini community health point,clinic,32.5979546,13.5043193,TRUE,TRUE,high
صيدلية الفائق,Al-Fayeq Pharmacy,Al-Fayeq Pharmacy,pharmacy,32.5198135,15.4490623,TRUE,TRUE,high
صيدلية الاول,First Pharmacy,First Pharmacy,pharmacy,32.529686,15.6412824,TRUE,TRUE,high
صيدلية كوثرن,Cawthorne Pharmacy,Cawthorne Pharmacy,pharmacy,32.5420609,15.6534376,TRUE,TRUE,high
صيدلية الرازي,Al Razi Pharmacy,Al Razi Pharmacy,pharmacy,32.529686,15.6246872,TRUE,TRUE,high
صيدلية هديل,Hadeel Pharmacy,Hadeel Pharmacy,pharmacy,32.5751877,15.6695623,TRUE,TRUE,high
صيدلية البجراوية,Al-Bajrawiya Pharmacy,Al-Bajrawiya Pharmacy,pharmacy,32.440937,15.6481876,TRUE,TRUE,high
صيدلية حبيبة,Habiba Pharmacy,Habiba Pharmacy,pharmacy,32.4354362,15.6479378,TRUE,TRUE,high
صيدلية فاس,Fez Pharmacy,Fez Pharmacy,pharmacy,32.4403114,15.6141872,TRUE,TRUE,high
صيدلية عبيرنا,Abeerna Pharmacy,Abeerna Pharmacy,pharmacy,32.5691872,15.5770626,TRUE,TRUE,high
Ethetica Dental Center,Ethetica Dental Center,Ethetica Dental Center,dental_clinic,32.5718512,15.5795269,TRUE,TRUE,high
صيدلية ابن الملك,Ibn Al-Malik Pharmacy,Ibn Al-Malik Pharmacy,pharmacy,32.5715711,15.5810417,TRUE,TRUE,high
مدينة البراحة الطبية,Al Baraha Medical City,Al Baraha Medical City,clinic,32.5443115,15.6731873,TRUE,TRUE,high
صيدلية الكروان,Al Karawan Pharmacy,Al Karawan Pharmacy,pharmacy,32.5378113,15.6698122,TRUE,TRUE,high
صيدلية شمبات الحديثة,Shambat Modern Pharmacy,Shambat Modern Pharmacy,pharmacy,32.5366859,15.6673126,TRUE,TRUE,high
صيدلية المجد,Al Majd Pharmacy,Al Majd Pharmacy,pharmacy,32.5350609,15.6633129,TRUE,TRUE,high
صيدلية العائلات,Family Pharmacy,Family Pharmacy,pharmacy,32.5463142,15.657937,TRUE,TRUE,high
صيدلية اسكيمو,Eskimo Pharmacy,Eskimo Pharmacy,pharmacy,32.5470619,15.6611872,TRUE,TRUE,high
صيدلية اريس,Ares Pharmacy,Ares Pharmacy,pharmacy,32.5560608,15.6880627,TRUE,TRUE,high
صيدلية زوماكس,Zomax Pharmacy,Zomax Pharmacy,pharmacy,32.5389366,15.529563,TRUE,TRUE,high
صيدلية محطة 7,Station 7 Pharmacy,Station 7 Pharmacy,pharmacy,32.5395622,15.5441875,TRUE,TRUE,high
صيدلية مركز الدواء,Drug Center Pharmacy,Drug Center Pharmacy,pharmacy,32.5386887,15.5494375,TRUE,TRUE,high
صيدلية الفرقان,Al-Furqan Pharmacy,Al-Furqan Pharmacy,pharmacy,32.538311,15.5515623,TRUE,TRUE,high
صيدلية القصواء,Al Qaswa Pharmacy,Al Qaswa Pharmacy,pharmacy,32.5415519,15.5325083,TRUE,TRUE,high
صيدلية عبد المحمود,Abdel Mahmoud Pharmacy,Abdel Mahmoud Pharmacy,pharmacy,32.5321884,15.5395622,TRUE,TRUE,high
الياسري,Al-Yasiri,Al-Yasiri,pharmacy,32.5282426,15.5217095,TRUE,TRUE,high
صيدلية الياسري,Al-Yasiri Pharmacy,Al-Yasiri Pharmacy,pharmacy,32.5281868,15.5216875,TRUE,TRUE,high
صيدلية المدار,Al Madar Pharmacy,Al Madar Pharmacy,pharmacy,32.5146866,15.5238123,TRUE,TRUE,high
صيدلية الازهري,Al-Azhari Pharmacy,Al-Azhari Pharmacy,pharmacy,32.5630608,15.5226879,TRUE,TRUE,high
العوني,Aouni,Aouni,pharmacy,32.5407551,15.6216223,TRUE,TRUE,high
صيدلية التميز 2,Excellence Pharmacy 2,Excellence Pharmacy 2,pharmacy,32.5279388,15.6245623,TRUE,TRUE,high
صيدلية اورينت,Orient Pharmacy,Orient Pharmacy,pharmacy,32.5285606,15.626687,TRUE,TRUE,high
صيدلية الخليج,Gulf Pharmacy,Gulf Pharmacy,pharmacy,32.5630608,15.6045628,TRUE,TRUE,high
3D Scan Radiology Center,3D Scan Radiology Center,3D Scan Radiology Center,dental_clinic,32.5643549,15.5762925,TRUE,TRUE,high
مجمع الدكتور كمال العمده الطبي,Dr. Kamal Al-Amda Medical Complex,Dr. Kamal Al-Amda Medical Complex,clinic,32.5645836,15.5773255,TRUE,TRUE,high
Prestige Clinic,Prestige Clinic,Prestige Clinic,clinic,32.5657997,15.5765523,TRUE,TRUE,high
صيدلية التهامي,El Tohamy Pharmacy,El Tohamy Pharmacy,pharmacy,32.4529381,15.6543121,TRUE,TRUE,high
كمبال العالميه المكتب العلمي,Kambal International Scientific Office,Kambal International Scientific Office,pharmacy,32.5505206,15.5732472,TRUE,TRUE,high
مركز دافنشي للاسنان,Da Vinci Dental Center,Da Vinci Dental Center,dental_clinic,32.5497659,15.5789842,TRUE,TRUE,high
صيدلية طيبة2,Taiba Pharmacy2,Taiba Pharmacy2,pharmacy,32.5398065,15.5422656,TRUE,TRUE,high
صيدلية ون استب,One Step Pharmacy,One Step Pharmacy,pharmacy,32.5153122,15.534687,TRUE,TRUE,high
صيدلية تو ام - 2m,2M Pharmacy - 2m,2M Pharmacy - 2m,pharmacy,32.524189,15.5446873,TRUE,TRUE,high
صيدلية ود الحوري,Wad Al-Houry Pharmacy,Wad Al-Houry Pharmacy,pharmacy,32.562561,15.6020622,TRUE,TRUE,high
صيدلية الشريفة فاطمة الزهراء,Al-Sharifa Fatima Al-Zahraa Pharmacy,Al-Sharifa Fatima Al-Zahraa Pharmacy,pharmacy,32.5521889,15.6745625,TRUE,TRUE,high
صيدلية الشريف الهندي,Al-Sharif Al-Hindi Pharmacy,Al-Sharif Al-Hindi Pharmacy,pharmacy,32.5203614,15.5275079,TRUE,TRUE,high
صيدلية الشريف الهندي,Al-Sharif Al-Hindi Pharmacy,Al-Sharif Al-Hindi Pharmacy,pharmacy,32.5203133,15.5280628,TRUE,TRUE,high
صيدلية الراية - جبرة شمال,Al Raya Pharmacy - Jabra North,Al Raya Pharmacy - Jabra North,pharmacy,32.5125618,15.5296879,TRUE,TRUE,high
صيدلية اسبانيول,Espanyol Pharmacy,Espanyol Pharmacy,pharmacy,32.4970627,15.5313129,TRUE,TRUE,high
صيدلية المعتمد صالحة هجيليجة,Al-Mutamed Salha Heglija Pharmacy,Al-Mutamed Salha Heglija Pharmacy,pharmacy,32.4246187,15.5360332,TRUE,TRUE,high
مركز روان الصحي,Rawan Health Center,Rawan Health Center,clinic,32.4219959,15.5237664,TRUE,TRUE,high
صيدلية د حسن عبد الله,Dr. Hassan Abdullah Pharmacy,Dr. Hassan Abdullah Pharmacy,pharmacy,32.4265633,15.5438128,TRUE,TRUE,high
صيدلية الوالدين الحديثة,Modern parent pharmacy,Modern parent pharmacy,pharmacy,32.4668121,15.6075621,TRUE,TRUE,high
صيدلية التهامي,El Tohamy Pharmacy,El Tohamy Pharmacy,pharmacy,32.4649391,15.6045628,TRUE,TRUE,high
صيدلية فارما 2,Pharma Pharmacy 2,Pharma Pharmacy 2,pharmacy,32.4602423,15.5962619,TRUE,TRUE,high
صيدلية اويس,Owais Pharmacy,Owais Pharmacy,pharmacy,32.449688,15.595437,TRUE,TRUE,high
صيدلية فتاشة,Fatasha Pharmacy,Fatasha Pharmacy,pharmacy,32.4535688,15.5891634,TRUE,TRUE,high
صيدلية A to Z,A to Z Pharmacy,A to Z Pharmacy,pharmacy,32.5603038,15.5911531,TRUE,TRUE,high
,,Unnamed Pharmacy,pharmacy,32.5475198,15.5855554,FALSE,TRUE,medium
صيدلية أسيل,Aseel Pharmacy,Aseel Pharmacy,pharmacy,32.5059488,15.5243184,TRUE,TRUE,high
صيدلية الوسيلة 7,Al Waseela Pharmacy 7,Al Waseela Pharmacy 7,pharmacy,32.4825912,15.4972986,TRUE,TRUE,high
صيدلية الاسكان 72,Housing Pharmacy 72,Housing Pharmacy 72,pharmacy,32.4794862,15.7550417,TRUE,TRUE,high
صيدلية عبد العظيم,Abdel Azim Pharmacy,Abdel Azim Pharmacy,pharmacy,32.4792985,15.7538646,TRUE,TRUE,high
صيدلية التراجمة,Translation Pharmacy,Translation Pharmacy,pharmacy,32.4853726,15.7232884,TRUE,TRUE,high
صيدلية المجتمع,Community pharmacy,Community pharmacy,pharmacy,32.4716521,15.7254221,TRUE,TRUE,high
صيدلية زحل,Saturn Pharmacy,Saturn Pharmacy,pharmacy,32.4858129,15.7247555,TRUE,TRUE,high
صيدلية سديم,Sadeem Pharmacy,Sadeem Pharmacy,pharmacy,32.4595955,15.7399344,TRUE,TRUE,high
صيدلية مكة 9,Mecca Pharmacy 9,Mecca Pharmacy 9,pharmacy,32.4760148,15.7045465,TRUE,TRUE,high
صيدلية الدار البيضاء,Casablanca Pharmacy,Casablanca Pharmacy,pharmacy,32.4694772,15.607482,TRUE,TRUE,high
مجمع المهندسين الطبي,Medical Engineers Complex,Medical Engineers Complex,clinic,32.4623943,15.6085285,TRUE,TRUE,high
صيدلية حلال الطبية,Halal Medical Pharmacy,Halal Medical Pharmacy,pharmacy,32.4534283,15.6046355,TRUE,TRUE,high
صيدلية يولاند,Yolande Pharmacy,Yolande Pharmacy,pharmacy,32.4523927,15.602119,TRUE,TRUE,high
صيدلية المنذر,Al-Mundhir Pharmacy,Al-Mundhir Pharmacy,pharmacy,32.4560975,15.6130365,TRUE,TRUE,high
صيدلية ابو المقداد 2,Abu Al-Miqdad Pharmacy 2,Abu Al-Miqdad Pharmacy 2,pharmacy,32.5797995,15.5050684,TRUE,TRUE,high
صيدلية ابو المقداد 7,Abu Al-Miqdad Pharmacy 7,Abu Al-Miqdad Pharmacy 7,pharmacy,32.580124,15.5056923,TRUE,TRUE,high
صيدلية المختار,Al-Mukhtar Pharmacy,Al-Mukhtar Pharmacy,pharmacy,32.5888625,15.5529268,TRUE,TRUE,high
مركز صحي الجريف شرق,Al-Jarif Health Center East,Al-Jarif Health Center East,clinic,32.6089679,15.5838221,TRUE,TRUE,high
صيدلية موسكو,Moscow pharmacy,Moscow pharmacy,pharmacy,32.6082759,15.5892165,TRUE,TRUE,high
مجمع لميس الطبي,Lamis Medical Complex,Lamis Medical Complex,clinic,32.6087728,15.5871208,TRUE,TRUE,high
صيدلية البسملة,Basmala Pharmacy,Basmala Pharmacy,pharmacy,32.607783,15.5981161,TRUE,TRUE,high
صيدلية كير زون,Care Zone Pharmacy,Care Zone Pharmacy,pharmacy,32.6088616,15.5982701,TRUE,TRUE,high
صيدلية الفريق,Team Pharmacy,Team Pharmacy,pharmacy,32.6065409,15.5959509,TRUE,TRUE,high
صيدلية تبد,Tabd Pharmacy,Tabd Pharmacy,pharmacy,32.6075477,15.6018101,TRUE,TRUE,high
صيدلية الفاروق,Al Farouk Pharmacy,Al Farouk Pharmacy,pharmacy,32.6031583,15.6138212,TRUE,TRUE,high
صيدلية الفاروق,Al Farouk Pharmacy,Al Farouk Pharmacy,pharmacy,32.603344,15.613707,TRUE,TRUE,high
صيدلية اكسترا,Extra Pharmacy,Extra Pharmacy,pharmacy,32.6103007,15.5998423,TRUE,TRUE,high
صيدلية نعم,Pharmacy yes,Pharmacy yes,pharmacy,32.5712651,15.5595138,TRUE,TRUE,high
صيدلية نعم,Pharmacy yes,Pharmacy yes,pharmacy,32.5714088,15.5585137,TRUE,TRUE,high
صيدلية ابو المقداد 4,Abu Al-Miqdad Pharmacy 4,Abu Al-Miqdad Pharmacy 4,pharmacy,32.5651006,15.548313,TRUE,TRUE,high
صيدلية ممدوح الحديثة,Mamdouh Modern Pharmacy,Mamdouh Modern Pharmacy,pharmacy,32.5681877,15.5418129,TRUE,TRUE,high
,,Unnamed Pharmacy,pharmacy,32.5667178,15.5416747,FALSE,TRUE,medium
بصريات الجزيرة,Al Jazeera Optics,Al Jazeera Optics,other,32.5588688,15.5468565,TRUE,TRUE,high
صيدلية السواحلي,Al Swahili Pharmacy,Al Swahili Pharmacy,pharmacy,32.574973,15.5631428,TRUE,TRUE,high
الانور لطب الاسنان,Al Anwar Dental Clinic,Al Anwar Dental Clinic,dental_clinic,32.5689489,15.5724352,TRUE,TRUE,high
محطة عزيز كفوري,Aziz Kfoury station,Aziz Kfoury station,clinic,32.5597811,15.6209227,TRUE,TRUE,high
صيدلية رنيم,Raneem Pharmacy,Raneem Pharmacy,pharmacy,32.5608162,15.6328725,TRUE,TRUE,high
صيدلية د نجاة صالح,Dr. Najat Saleh Pharmacy,Dr. Najat Saleh Pharmacy,pharmacy,32.574688,15.6383123,TRUE,TRUE,high
صيدلية بريمير,Premier Pharmacy,Premier Pharmacy,pharmacy,32.5650742,15.6358456,TRUE,TRUE,high
صيدلية عبير,Abeer Pharmacy,Abeer Pharmacy,pharmacy,32.5631473,15.6355022,TRUE,TRUE,high
صيدلية بن رشد,Bin Rushd Pharmacy,Bin Rushd Pharmacy,pharmacy,32.5796439,15.5557049,TRUE,TRUE,high
عيادة حمور لطب الأسنان,Hammour Dental Clinic,Hammour Dental Clinic,dental_clinic,32.579858,15.557681,TRUE,TRUE,high
صيدلية العنبر,Anbar Pharmacy,Anbar Pharmacy,pharmacy,32.5811427,15.5478843,TRUE,TRUE,high
صدلية ابو المقداد,Abu Al-Miqdad Pharmacy,Abu Al-Miqdad Pharmacy,pharmacy,32.5820436,15.5426872,TRUE,TRUE,high
صيدلية الاخلاص,Al-Ikhlas Pharmacy,Al-Ikhlas Pharmacy,pharmacy,32.5784212,15.5123625,TRUE,TRUE,high
صيدلية دكتورة ريم,Dr. Reem Pharmacy,Dr. Reem Pharmacy,pharmacy,32.5830496,15.5368488,TRUE,TRUE,high
صيدلية بايونير,Pioneer Pharmacy,Pioneer Pharmacy,pharmacy,32.5702189,15.5874633,TRUE,TRUE,high
صيدلية المنشية,Al-Mansheya Pharmacy,Al-Mansheya Pharmacy,pharmacy,32.5734879,15.593163,TRUE,TRUE,high
صيدلية سهيلة,Suhaila Pharmacy,Suhaila Pharmacy,pharmacy,32.573092,15.5977435,TRUE,TRUE,high
صيدلية زيادة,Ziada Pharmacy,Ziada Pharmacy,pharmacy,32.5914194,15.7053396,TRUE,TRUE,high
صيدلية سالي,Sally's Pharmacy,Sally's Pharmacy,pharmacy,32.6246559,15.6355576,TRUE,TRUE,high
صيدلية التواصل,Communication Pharmacy,Communication Pharmacy,pharmacy,32.6250822,15.6417223,TRUE,TRUE,high
BioPharmacy,BioPharmacy,BioPharmacy,pharmacy,32.5811368,15.5897271,TRUE,TRUE,high
Wellcare pharmacy,Wellcare pharmacy,Wellcare pharmacy,pharmacy,32.5753974,15.5845528,TRUE,TRUE,high
ماجيك كلينك,Magic Clinic,Magic Clinic,dental_clinic,32.5746731,15.5856821,TRUE,TRUE,high
صيدلية علياء,Alia Pharmacy,Alia Pharmacy,pharmacy,32.5743985,15.5872775,TRUE,TRUE,high
صيدلية الصفوة,Al Safwa Pharmacy,Al Safwa Pharmacy,pharmacy,32.5760105,15.5975432,TRUE,TRUE,high
صيدلية السجاد,Carpet Pharmacy,Carpet Pharmacy,pharmacy,32.5785109,15.5976418,TRUE,TRUE,high
صيدلية ميراي,Mirai Pharmacy,Mirai Pharmacy,pharmacy,32.5803898,15.5977984,TRUE,TRUE,high
صيدلية ابو المقداد 19,Abu Al-Miqdad Pharmacy 19,Abu Al-Miqdad Pharmacy 19,pharmacy,32.5309992,15.6388602,TRUE,TRUE,high
صيدلية نبع الطب,Nabaa Al-Tib Pharmacy,Nabaa Al-Tib Pharmacy,pharmacy,32.5308013,15.6283121,TRUE,TRUE,high
المركز التشخيصي المتطور,Advanced diagnostic center,Advanced diagnostic center,clinic,32.5273132,15.6256876,TRUE,TRUE,high
Wadlelnile,Wadlelnile,Wadlelnile,pharmacy,32.5014946,15.6875995,TRUE,TRUE,high
عيادة اليرموك لطب و جراحة الاسنان,Al-Yarmouk Dental Surgery Clinic,Al-Yarmouk Dental Surgery Clinic,clinic,32.4903215,15.6924404,TRUE,TRUE,high
مركز البلال الطبي,Al-Bilal Medical Center,Al-Bilal Medical Center,clinic,32.4764499,15.69076,TRUE,TRUE,high
